Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HNV3Z9J01C97M3	58-254	197	15-254	240	257
HNV3Z9J01DYEU1	34-34	1	15-48	34	139
HNV3Z9J01BP0BE	57-76	20	15-76	62	91
HNV3Z9J01CUHSS	57-73	17	15-73	59	90
HNV3Z9J01DKFEX	57-76	20	15-76	62	90
HNV3Z9J01DWQBX	73-96	24	15-96	82	116
HNV3Z9J01BESIL	58-163	106	15-163	149	165
HNV3Z9J01DDO2X	35-35	1	15-67	53	124
HNV3Z9J01AGNLI	56-232	177	15-266	252	311
HNV3Z9J01DQMD5	36-176	141	14-176	163	179
HNV3Z9J01AOIH0	58-331	274	15-331	317	335
HNV3Z9J01CNPSS	59-209	151	15-209	195	217
HNV3Z9J01CQ9UV	56-113	58	15-113	99	270
HNV3Z9J01CQ2QW	61-78	18	15-78	64	515
HNV3Z9J01BQYVX	57-89	33	15-89	75	91
HNV3Z9J01C59TL	37-108	72	15-108	94	120
HNV3Z9J01AXSXL	35-35	1	15-69	55	160
HNV3Z9J01EEOYR	58-85	28	15-85	71	93
HNV3Z9J01A9OM6	37-118	82	15-167	153	193
HNV3Z9J01C9DLG	37-253	217	15-253	239	267
HNV3Z9J01DNRIQ	37-103	67	15-103	89	117
HNV3Z9J01BS86S	93-126	34	15-126	112	128
HNV3Z9J01B4GWK	35-35	1	15-54	40	151
HNV3Z9J01CC1P1	57-322	266	15-322	308	325
HNV3Z9J01AF0TN	36-36	1	15-57	43	527
HNV3Z9J01ANVIU	36-66	31	15-66	52	146
HNV3Z9J01BZKOR	36-36	1	15-60	46	407
HNV3Z9J01BP2K9	34-34	1	15-58	44	140
HNV3Z9J01DBDQ2	58-91	34	15-91	77	95
HNV3Z9J01BTC1K	58-79	22	15-79	65	91
HNV3Z9J01ARAM0	57-220	164	15-220	206	229
HNV3Z9J01CBZOY	57-207	151	15-207	193	209
HNV3Z9J01A7G5J	58-331	274	15-331	317	335
HNV3Z9J01A2N6Z	58-123	66	15-156	142	185
HNV3Z9J01AFN0Q	57-74	18	15-74	60	205
HNV3Z9J01CEJA4	83-230	148	15-230	216	232
HNV3Z9J01EP2PZ	94-127	34	15-127	113	128
