Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01DMTT5	74-98	25	15-98	84	107
HSKHDBE01EG1W9	37-44	8	15-44	30	126
HSKHDBE01DUW6O	57-207	151	15-260	246	284
HSKHDBE01DOKYE	57-349	293	15-349	335	351
HSKHDBE01ANKQZ	48-48	1	15-48	34	145
HSKHDBE01CLYG5	55-174	120	15-174	160	611
HSKHDBE01BZE0H	74-105	32	15-105	91	106
HSKHDBE01CVZG7	89-122	34	15-122	108	123
HSKHDBE01D9U3X	56-213	158	15-213	199	215
HSKHDBE01BTF83	57-305	249	15-305	291	308
HSKHDBE01AZR6X	56-214	159	15-214	200	216
HSKHDBE01ARRAG	56-340	285	15-340	326	343
HSKHDBE01BSDM3	59-276	218	15-276	262	297
HSKHDBE01BO4UF	81-106	26	15-106	92	116
HSKHDBE01EVGJD	55-82	28	15-82	68	184
HSKHDBE01EPSDS	56-306	251	15-306	292	308
HSKHDBE01A0HWF	35-35	1	15-89	75	141
HSKHDBE01CJXU7	57-120	64	15-128	114	192
HSKHDBE01DCAT4	54-183	130	15-183	169	185
HSKHDBE01ATF9C	36-36	1	15-68	54	132
HSKHDBE01DYE2I	55-452	398	15-452	438	515
HSKHDBE01DYICX	56-353	298	15-353	339	357
HSKHDBE01AZ0LD	54-309	256	15-309	295	324
HSKHDBE01BNN2R	56-229	174	15-229	215	232
HSKHDBE01DOHVZ	56-363	308	15-363	349	366
HSKHDBE01DBLGZ	56-119	64	15-119	105	619
HSKHDBE01D61U5	76-109	34	15-109	95	110
HSKHDBE01ANUC9	55-190	136	15-190	176	559
HSKHDBE01B1O0F	56-354	299	15-354	340	368
HSKHDBE01CQQPE	36-36	1	15-53	39	198
HSKHDBE01D21IE	56-119	64	15-119	105	597
HSKHDBE01CUX6N	36-36	1	15-67	53	125
HSKHDBE01ARNHV	56-98	43	15-98	84	406
HSKHDBE01AYVX3	37-135	99	15-135	121	137
HSKHDBE01D4378	54-135	82	15-170	156	224
HSKHDBE01BBJ1K	59-132	74	15-132	118	545
HSKHDBE01ADBIF	58-356	299	15-356	342	366
HSKHDBE01AZFXO	56-349	294	15-349	335	365
HSKHDBE01CPHEE	56-114	59	15-114	100	183
HSKHDBE01COZUV	59-132	74	15-132	118	480
HSKHDBE01A9KUL	80-343	264	15-343	329	346
HSKHDBE01DIEWB	115-148	34	15-148	134	149
HSKHDBE01DE02G	58-459	402	15-459	445	466
HSKHDBE01A1ZGH	37-53	17	15-53	39	290
HSKHDBE01B6VUY	59-302	244	15-302	288	304
HSKHDBE01A0HNU	56-308	253	15-308	294	310
HSKHDBE01C37LC	71-91	21	15-91	77	103
HSKHDBE01AIX2N	59-155	97	15-155	141	170
HSKHDBE01BUB8R	37-176	140	15-176	162	196
HSKHDBE01AJYY5	81-114	34	15-114	100	115
HSKHDBE01A1MO0	55-178	124	15-178	164	488
HSKHDBE01AGCMP	57-292	236	15-316	302	516
HSKHDBE01DZWMH	61-463	403	15-463	449	466
HSKHDBE01C65AS	55-464	410	15-464	450	515
HSKHDBE01BWL6L	58-102	45	15-102	88	554
HSKHDBE01BEPUR	58-151	94	15-151	137	170
HSKHDBE01CQ9L0	55-379	325	15-379	365	384
HSKHDBE01BPCKD	71-103	33	15-103	89	104
HSKHDBE01C2L4T	55-179	125	15-179	165	455
