Accno	Read Status	5' Contig	5' Position	5' Strand	3' Contig 	3' Position	3' Strand
HTU2KLI03GWKCQ	PartiallyAssembled	contig00012	539	+	contig00060	1	-
HTU2KLI03GMZ3K	PartiallyAssembled	contig00026	20	-	contig00033	75	+
HTU2KLI03HFGU5	PartiallyAssembled	contig00001	1067	+	contig00001	1185	-
HTU2KLI03GJLI7	PartiallyAssembled	contig00012	539	+	contig00060	1	-
HTU2KLI03GOTL5	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03HGN8X	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03HHM0I	PartiallyAssembled	contig00002	487	+	contig00002	807	-
HTU2KLI03GZX87	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03HGELL	Assembled	contig00022	73	+	contig00022	354	-
HTU2KLI03HFMWM	PartiallyAssembled	contig00004	411	+	contig00004	655	-
HTU2KLI03G9J2R	PartiallyAssembled	contig00022	337	-	contig00022	77	+
HTU2KLI03HFH3Q	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FII6V	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03HF41V	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03HGN15	Assembled	contig00001	1295	+	contig00001	1506	-
HTU2KLI03F1QV4	Assembled	contig00022	73	+	contig00022	343	-
HTU2KLI03G0G82	PartiallyAssembled	contig00002	1369	-	contig00002	1098	+
HTU2KLI03FS2GK	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03GZIXJ	Assembled	contig00012	545	+	contig00012	600	-
HTU2KLI03G2S5G	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03HBC24	PartiallyAssembled	contig00004	1113	+	contig00033	143	-
HTU2KLI03HBY9T	TooShort
HTU2KLI03GCDQ2	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03HB9XP	Assembled	contig00010	692	-	contig00010	563	+
HTU2KLI03G8H3L	Assembled	contig00004	928	-	contig00004	765	+
HTU2KLI03G93S9	Assembled	contig00012	545	+	contig00056	31	-
